Frequency (Hz)	Level (dB)
481.132507	-88.909126
481.805420	-97.038498
482.478333	-99.430817
483.151245	-95.993736
483.824158	-97.593826
484.497070	-91.959267
485.169983	-86.574165
485.842896	-88.344887
486.515808	-86.727135
487.188721	-90.959145
487.861633	-100.127556
488.534546	-89.557320
489.207458	-87.847435
489.880371	-90.797539
490.553284	-93.828560
491.226196	-94.095093
491.899109	-98.346634
492.572021	-95.075996
493.244934	-85.347260
493.917847	-85.723518
494.590759	-86.224289
495.263672	-87.833603
495.936584	-89.830582
496.609497	-90.696846
497.282410	-86.369850
497.955322	-88.863884
498.628235	-97.320976
499.301147	-95.342087
499.974060	-95.897171
500.646973	-89.455772
501.319885	-93.737465
501.992798	-103.237732
502.665710	-97.317665
503.338623	-89.168716
504.011536	-100.816292
504.684448	-86.129341
505.357361	-83.324890
506.030273	-82.063126
506.703186	-86.696289
507.376099	-87.533340
508.049011	-83.717018
508.721924	-80.908485
509.394836	-83.532616
510.067749	-86.514900
510.740662	-81.548592
511.413574	-83.221825
512.086487	-80.735168
512.759399	-78.550369
513.432312	-81.589607
514.105225	-90.069191
514.778137	-99.174126
515.451050	-90.835571
516.123962	-91.497498
516.796875	-103.263237
517.469788	-100.305511
518.142700	-88.342873
518.815613	-90.471748
519.488525	-90.385254
520.161438	-96.766434
520.834351	-94.114426
521.507263	-82.546722
522.180176	-83.197807
522.853088	-86.659096
523.526001	-89.012482
524.198914	-88.417953
524.871826	-90.471176
525.544739	-95.468140
526.217651	-92.885582
526.890564	-93.906006
527.563477	-89.924637
528.236389	-86.264137
528.909302	-85.597755
529.582214	-84.990723
530.255127	-84.897827
530.928040	-88.842934
531.600952	-102.146324
532.273865	-97.173515
532.946777	-105.616768
533.619690	-95.188789
534.292603	-90.224831
534.965515	-88.293182
535.638428	-87.245010
536.311340	-90.558060
536.984253	-93.253006
537.657166	-95.039154
538.330078	-90.686226
539.002991	-89.918663
539.675903	-89.020927
540.348816	-90.599472
541.021729	-95.693382
541.694641	-96.175224
542.367554	-92.008377
543.040466	-101.619255
543.713379	-97.248955
544.386292	-103.854477
545.059204	-89.894287
545.732117	-85.695045
546.405029	-87.603294
547.077942	-96.813225
547.750854	-87.342796
548.423767	-86.829155
549.096680	-94.661369
549.769592	-92.337891
550.442505	-87.129440
551.115417	-86.742081
551.788330	-87.398613
552.461243	-86.919907
553.134155	-84.234741
553.807068	-84.715164
554.479980	-84.826630
555.152893	-98.963943
555.825806	-87.752266
556.498718	-85.696457
557.171631	-88.668396
557.844543	-88.973488
558.517456	-91.029388
559.190369	-87.818649
559.863281	-91.072525
560.536194	-93.437073
561.209106	-84.940453
561.882019	-90.005569
562.554932	-92.709473
563.227844	-94.135315
563.900757	-94.080772
564.573669	-86.898567
565.246582	-90.203522
565.919495	-85.834572
566.592407	-88.771828
567.265320	-92.845322
567.938232	-92.539207
568.611145	-94.505951
569.284058	-89.738327
569.956970	-87.981026
570.629883	-85.076851
571.302795	-90.669907
571.975708	-88.100700
572.648621	-89.742165
573.321533	-97.498680
573.994446	-90.435570
